iata,name,city,country,lat,lon,widebody_capable,slot_constrained,daily_slot_cap,curfew,timezone_offset_h
DEL,Indira Gandhi Intl,Delhi,IN,28.5562,77.1000,yes,yes,120,no,5.5
BOM,Chhatrapati Shivaji Maharaj Intl,Mumbai,IN,19.0887,72.8679,yes,yes,72,no,5.5
BLR,Kempegowda Intl,Bengaluru,IN,13.1979,77.7063,yes,yes,90,no,5.5
MAA,Chennai Intl,Chennai,IN,12.9941,80.1709,yes,no,60,no,5.5
HYD,Rajiv Gandhi Intl,Hyderabad,IN,17.2403,78.4294,yes,no,60,no,5.5
CCU,Netaji Subhas Chandra Bose Intl,Kolkata,IN,22.6547,88.4467,yes,no,48,no,5.5
COK,Cochin Intl,Kochi,IN,10.1520,76.4019,yes,no,36,no,5.5
AMD,Sardar Vallabhbhai Patel Intl,Ahmedabad,IN,23.0772,72.6347,yes,no,36,no,5.5
PNQ,Pune,Pune,IN,18.5821,73.9197,no,yes,24,yes,5.5
GOX,Manohar Intl,Goa,IN,15.7300,73.8600,yes,no,30,no,5.5
JAI,Jaipur Intl,Jaipur,IN,26.8242,75.8122,no,no,24,no,5.5
LKO,Chaudhary Charan Singh Intl,Lucknow,IN,26.7606,80.8893,no,no,24,no,5.5
IXC,Chandigarh,Chandigarh,IN,30.6735,76.7885,no,no,18,yes,5.5
SXR,Sheikh ul-Alam Intl,Srinagar,IN,33.9871,74.7742,no,no,18,yes,5.5
PAT,Jay Prakash Narayan,Patna,IN,25.5913,85.0880,no,no,18,yes,5.5
BBI,Biju Patnaik Intl,Bhubaneswar,IN,20.2444,85.8178,no,no,18,no,5.5
GAU,Lokpriya Gopinath Bordoloi Intl,Guwahati,IN,26.1061,91.5859,no,no,24,no,5.5
TRV,Trivandrum Intl,Thiruvananthapuram,IN,8.4821,76.9200,yes,no,24,no,5.5
IXM,Madurai,Madurai,IN,9.8345,78.0934,no,no,12,no,5.5
VNS,Lal Bahadur Shastri Intl,Varanasi,IN,25.4524,82.8593,no,no,18,no,5.5
NAG,Dr Babasaheb Ambedkar Intl,Nagpur,IN,21.0922,79.0472,no,no,18,no,5.5
IDR,Devi Ahilyabai Holkar,Indore,IN,22.7218,75.8011,no,no,18,no,5.5
LHR,London Heathrow,London,GB,51.4700,-0.4543,yes,yes,80,yes,1.0
LGW,London Gatwick,London,GB,51.1537,-0.1821,yes,yes,40,yes,1.0
BHX,Birmingham,Birmingham,GB,52.4539,-1.7480,yes,no,18,yes,1.0
JFK,John F Kennedy Intl,New York,US,40.6413,-73.7781,yes,yes,60,no,-4.0
EWR,Newark Liberty Intl,Newark,US,40.6895,-74.1745,yes,yes,45,no,-4.0
SFO,San Francisco Intl,San Francisco,US,37.6213,-122.3790,yes,no,40,no,-7.0
